"Component name","Observed RT (min)","Amount","% Amount (%)","Expected Glycan Units","Glycan Units","Expected mass (Da)","Observed mass (Da)","Charge","Response"
"F(6)M3","12.93","0.024","0.02","4.7617","4.7762","1367.56030","1367.5604","2","1286968"
"M3","13.36","2.110","2.11","4.3633","4.8984","1221.50239","1221.5029","1","113500878"
"F(6)A1","14.63","1.982","1.98","5.2906","5.2599","1570.63967","1570.6413","2","106652627"
"A2 isomer","15.14","7.251","7.25","5.4619","5.4059","1627.66114","1627.6624","2","390124214"
"F(6)M4","15.86","0.011","0.01","5.6191","5.6157","","","","596973"
"F(6)A2 isomer","16.22","59.663","59.66","5.7879","5.7214","1773.71904","1773.7220","2","3209859221"
"F(6)M4A1","17.15","0.040","0.04","5.9878","5.9979","","","","2138629"
"M5","17.61","11.740","11.74","6.1692","6.1345","1545.60804","1545.6097","2","631614363"
"A2G(4)1","18.00","0.412","0.41","6.2465","6.2545","","","","22161671"
"A1[3]G(4)1","18.27","0.487","0.49","5.7950","6.3393","1586.63459","1586.6345","2","26183499"
"F(6)A2[6]G(4)1","18.60","6.510","6.51","6.5337","6.4404","1935.77187","1935.7752","2","350245328"
"F(6)M5","18.81","0.245","0.25","6.4785","6.5045","1691.66595","1691.6840","2","13188607"
"F(6)A2[3]G(4)1","19.00","4.136","4.14","6.6633","6.5645","1935.77187","1935.7736","2","222489101"
"M5A1","19.28","0.353","0.35","6.6603","6.6537","","","","19008364"
"F(6)A3","19.44","0.306","0.31","6.2714","6.7035","1976.79842","1976.7993","2","16453513"
"F(6)M5A1","19.98","0.086","0.09","6.8922","6.8786","","","","4605145"
"M6","20.38","1.506","1.51","7.1138","7.0097","1707.66086","1707.6595","2","81045875"
"F(6)A2[6]G(4)1S(3)1","21.25","1.437","1.44","7.4100","7.2988","2226.86728","2226.8594","2","77313716"
"F(6)A2[6]G1Ga1","21.44","0.301","0.30","7.3950","7.3641","2097.82469","2097.8232","2","16215222"
"A2BG(4)2","21.66","0.239","0.24","7.3500","7.4387","2154.84615","2154.8562","2","12834714"
"M5A1G(4)1","21.81","0.039","0.04","7.4310","7.4895","1910.74023","1910.7398","2","2089668"
"F(6)A2[3]G1Ga1","22.04","0.037","0.04","7.5500","7.5719","","","","1996387"
"F(6)M5A1G(4)1","22.41","0.038","0.04","7.7400","7.6996","","","","2047514"
"M7 D3","22.69","0.176","0.18","7.8050","7.7996","1869.71368","1869.7154","2","9458691"
"M7","23.07","0.466","0.47","7.9969","7.9361","1869.71368","1869.7137","2","25079439"
"A3G(4,4,3)3","23.65","0.022","0.02","8.1500","8.1468","","","","1167578"
"F(6)A2[6]G(4)1Sg(6)1","23.92","0.011","0.01","8.2435","8.2491","","","","590332"
"F(6)A2[3]G(4)1Sg(6)1","24.15","0.019","0.02","8.3057","8.3315","","","","1031331"
"F(6)A2G(4)2S(6)1","24.29","0.030","0.03","8.5500","8.3858","2388.92011","2388.9418","2","1603923"
"A2G(4)2S(6)1","24.57","0.003","0.00","8.5133","8.4917","","","","179443"
"F(6)A3G(4)3","24.99","0.004","0.00","8.5814","8.6506","2462.95689","2462.9632","2","228664"
"M8 D2,D3","25.08","0.312","0.31","8.7600","8.6882","2031.76651","2031.7694","2","16770652"
"M9","27.32","0.004","0.00","9.6667","9.5870","2193.81933","2193.8250","2","192285"
